"Date";"Time";"Programme";"MLCourse";"IRCourse";"StatCourse";"DBCourse";"Gender";"Chocolate";"Birthdate";"Neighbours";"Stresslevel";"Reward";"RandomNo";"Bedtime";"Goodday1";"Goodday2";"gd1";"gd2";"finalgd"
2021-03-29;13H 50M 14S;"AI";1;1;1;1;1;1;1998;2;55;100;4;1;"music";"music";"Resting";"Resting";"Resting"
2021-03-29;13H 53M 3S;"BUS";1;1;1;0;1;2;1993;0;78;0;7;20;"Saturday";"Monday";"Other";"Other";"Other"
2021-03-29;13H 53M 38S;"AI";0;0;1;0;1;2;1997;0;1;100;1;2;"food";"more food";"F&B";"F&B";"F&B"
2021-03-29;13H 56M 26S;"CS";1;0;1;0;1;1;1995;0;25;1;6;1;"Family";"Rice/Pasta for dinner";"Social";"F&B";"Social"
2021-03-29;14H 1M 59S;"Other";1;1;0;0;-1;2;1996;0;90;50;9;22;"sun";"exercise";"Weather";"Exercise";"Weather"
2021-03-29;14H 7M 33S;"ECO";0;0;1;0;1;1;1996;2;70;20;5;23;"Going out";"not working";"Social";"Goals";"Social"
2021-03-29;14H 16M 20S;"ECO";1;NA;1;1;1;1;1996;0;12;100;7;23;"No stress";"Holidays";"Resting";"Other";"Resting"
2021-03-29;14H 30M 16S;"ECO";1;0;1;0;1;3;1998;0;31;100;4;22;"Sun";"Sporting";"Weather";"Exercise";"Weather"
2021-03-29;14H 32M 57S;"AI";0;0;1;1;-1;3;1999;0;35;10;10;2;"Free time";"Social activity";"Resting";"Social";"Resting"
2021-03-29;14H 35M 19S;"AI";1;1;1;1;-1;1;1998;0;80;100;9;0;"Getting everything done that needed to be done";"Chilling in the sun";"Goals";"Weather";"Goals"
2021-03-29;14H 40M 38S;"AI";1;0;1;0;-1;3;1996;2;50;1;5;2;"Seeing friends and family that I love";"Calmth, positivity, learning/reading";"Social";"Goals";"Social"
2021-03-29;14H 44M 22S;"BUS";1;1;1;1;1;1;1996;2;10;20;3;22;"nice weather";"walk on the beach";"Weather";"Resting";"Weather"
2021-03-29;14H 49M 24S;"FIN";1;0;1;0;1;1;1997;0;0;20;2;23;"Soccer";"Sun";"Exercise";"Weather";"Exercise"
2021-03-29;15H 0M 11S;"BIO";1;0;1;1;-1;1;1999;1;75;10;37;23;"When I have seen/spoken to my loved ones";"When I feel like my day has been productive but not too stresfull";"Other";"Goals";"Goals"
2021-03-29;15H 3M 24S;"AI";0;0;1;0;1;1;1992;0;100;1;7;5;"Rest";"Nothing";"Resting";"Resting";"Resting"
2021-03-29;15H 4M 18S;"FIN";0;0;NA;0;1;1;1996;1;50;20;69;23;"Efficiency";"Accomplishment";"Goals";"Other";"Goals"
2021-03-29;15H 5M 0S;"FIN";0;0;NA;0;1;1;1996;1;50;20;69;23;"Efficiency";"Accomplishment";"Goals";"Other";"Goals"
2021-03-29;15H 5M 38S;"ECO";1;1;1;1;1;3;1996;0;60;30;7;22;"8 hours of sleep";"Friendly people";"Resting";"Social";"Resting"
2021-03-29;15H 9M 54S;"FIN";0;0;1;0;1;1;1996;1;50;20;7;23;"Efficiency";"Accomplishment";"Goals";"Other";"Goals"
2021-03-29;15H 35M 37S;"CS";1;0;1;NA;-1;3;1996;1;20;15;6;3;"swimming";"beer";"Exercise";"F&B";"Exercise"
2021-03-29;15H 41M 9S;"AI";1;1;1;1;-1;2;1996;0;40;0;1;3;"a good night's sleep";"a relaxed morning";"Resting";"Resting";"Resting"
2021-03-29;16H 23M 33S;"ECO";0;0;1;0;1;3;1996;0;77;5;4;2;"No work/free time";"Beautiful weather";"Goals";"Weather";"Goals"
2021-03-29;16H 35M 14S;"BIO";1;0;1;0;1;3;1996;0;15;99;11;0;"Fun activities";"Good food";"Social";"F&B";"Social"
2021-03-29;16H 35M 49S;"FIN";1;0;1;0;1;1;1994;0;60;20;8;2;"Warm weather";"enough food";"Weather";"F&B";"Weather"
2021-03-29;16H 35M 57S;"BUS";1;1;1;1;1;1;1995;0;60;100;7;23;"Hanging out with friends";"watching sports";"Social";"Exercise";"Social"
2021-03-29;16H 46M 51S;"ECO";1;0;1;0;1;3;1998;0;38;100;43;1;"Good breakfast";"Outdoor activity";"F&B";"Goals";"F&B"
2021-03-29;16H 49M 13S;"ECO";1;0;1;0;-1;3;1993;0;30;10;7;23;"Walking in the sun";"Eating good food";"Weather";"F&B";"Weather"
2021-03-29;16H 51M 39S;"CS";0;0;1;NA;1;4;1999;1;5;1;5;3;"sleep";"people";"Resting";"Social";"Resting"
2021-03-29;17H 35M 57S;"FIN";0;0;1;0;1;3;1996;0;50;1;7;0;"No Stress";"Be able to relax";"Resting";"Resting";"Resting"
2021-03-29;17H 47M 11S;"BUS";1;0;1;0;1;1;1994;0;35;10;7;0;"If I completed all my tasks which I set for the day.";"When I have spoken with/seen at least some friends or relatives that day.";"Goals";"Social";"Goals"
2021-03-29;17H 56M 51S;"AI";1;0;1;0;1;3;1998;0;0;100;5;22;"Sun";"Food";"Weather";"F&B";"Weather"
2021-03-29;17H 58M 0S;"Other";1;1;1;1;1;1;1996;0;10;5;7;23;"sport";"sun";"Exercise";"Weather";"Exercise"
2021-03-29;18H 2M 48S;"AI";1;1;1;1;1;3;1999;0;10;1;6;1;"No obligations";"A good night of sleep";"Resting";"Resting";"Resting"
2021-03-29;18H 21M 2S;"BUS";1;0;1;1;-1;1;1998;1;40;50;75;22;"A long walk outside";"Getting things done";"Exercise";"Goals";"Exercise"
2021-03-29;19H 1M 5S;"Other";1;0;1;1;-1;3;1996;0;60;10;7;23;"Sun";"Social contacts";"Weather";"Social";"Weather"
2021-03-29;19H 35M 58S;"BUS";1;NA;1;1;1;1;1994;0;60;1;69;23;"Sun";"Tennis";"Weather";"Other";"Weather"
2021-03-29;19H 56M 4S;"BUS";1;0;1;1;1;3;1999;0;99;100;2;23;"Payday";"The day that I paid my rent and don't have a red valued bank account.";"Other";"Goals";"Goals"
2021-03-29;19H 57M 32S;"Other";1;0;0;1;1;1;1995;0;40;70;6;0;"Nice weather and a run";"Playing music with friends";"Weather";"Social";"Weather"
2021-03-29;20H 4M 52S;"BUS";1;0;1;NA;-1;1;1997;2;80;50;8;23;"weather";"Being with friends or family";"Weather";"Social";"Weather"
2021-03-29;20H 9M 38S;"FIN";1;NA;NA;0;1;1;1996;0;20;100;6;23;"sports";"good food";"Exercise";"F&B";"Exercise"
2021-03-29;20H 33M 29S;"AI";1;0;1;1;1;1;1996;0;10;20;1;23;"Sun";"Productivity";"Weather";"Other";"Weather"
2021-03-29;20H 53M 49S;"BUS";1;0;1;0;1;4;1998;0;5;0;9;0;"Sport";"Progress towards a goal";"Exercise";"Other";"Exercise"
2021-03-29;21H 9M 39S;"CS";0;0;1;0;1;3;1996;0;31;0;3;23;"Sun";"Fun";"Weather";"Other";"Weather"
2021-03-29;21H 16M 4S;"ECO";1;NA;1;0;-1;1;1998;2;41;37;7;23;"Sunshine";"Good food";"Weather";"F&B";"Weather"
2021-03-29;21H 23M 1S;"CS";0;1;1;1;-1;1;1998;0;85;5;13;0;"a nice meal";"the sun";"F&B";"Weather";"F&B"
2021-03-29;21H 30M 30S;"BUS";1;0;1;0;-1;3;1996;2;60;60;7;23;"Sun";"Happy people/friends";"Weather";"Social";"Weather"
2021-03-29;21H 53M 6S;"AI";0;0;1;0;-1;3;1992;0;85;5;9;3;"Day off";"Good company";"Other";"Social";"Social"
2021-03-29;21H 57M 42S;"CS";0;0;1;0;-1;3;1996;0;70;50;7;0;"sunny";"enough sleep";"Weather";"Resting";"Weather"
2021-03-29;22H 11M 39S;"AI";0;0;1;1;1;1;1996;3;70;100;0;0;"get a good grade";"a sunny day";"Goals";"Weather";"Goals"
2021-03-29;22H 17M 34S;"CS";0;0;1;0;1;3;1994;0;45;10;7;22;"Talking and being around friends and loved ones";"When $GME goes up 69%      HODL ON";"Social";"Other";"Social"
2021-03-29;22H 39M 12S;"AI";1;1;1;1;1;2;1996;0;45;100;5;2;"productivity";"good food";"Other";"F&B";"F&B"
2021-03-29;22H 50M 20S;"AI";0;0;1;0;1;3;1997;0;30;0;1;23;"Good sleep";"Meet friends";"Resting";"Social";"Resting"
2021-03-29;22H 58M 34S;"AI";0;NA;1;0;-1;1;1998;0;65;1;10;1;"No stressing about deadlines";"Take a nice walk";"Goals";"Resting";"Goals"
2021-03-29;22H 58M 38S;"AI";0;0;1;0;1;1;1996;1;25;50;8;3;"happy";"productive";"Other";"Goals";"Goals"
2021-03-29;23H 2M 41S;"AI";1;1;1;1;1;3;1997;0;35;70;3;1;"good rest";"social";"Resting";"Social";"Resting"
2021-03-29;23H 3M 17S;"BUS";1;0;1;1;-1;1;1998;0;66;100;7;0;"Nice weather";"Being with my friends";"Weather";"Social";"Weather"
2021-03-29;23H 24M 53S;"AI";0;1;1;1;1;1;1996;0;30;70;8;1;"Low stresslevels";"Hanging out with friends";"Resting";"Social";"Resting"
2021-03-29;23H 27M 11S;"FIN";0;0;1;0;1;1;1997;1;0;0;7;2;"Good food";"Good mood";"F&B";"Resting";"F&B"
2021-03-29;23H 32M 18S;"FIN";1;0;1;0;1;4;1996;0;50;25;5;3;"Ice cream";"No deadlines for the subsequent days";"F&B";"Goals";"F&B"
