What programme are you in?,Class
Climate Econometrics,ECO
Econometrics and Data Science,ECO
Econometrics and data science,ECO
AI,AI
MSc Finance,FIN 
MSc: Artificial Intelligence,AI
MSc Information studies,CS
Bioinformatics and Systems Biology,BIO
artificial intelligence,AI
Fintech,FIN 
Fintech,FIN 
Quantative Risk Management,FIN 
Business Analytics,BUS
